solute_smiles,solvent_smiles,solute_name,solvent_name,temperature_K,logS,solubility_g_L
O=C1C(C(C2=CC=C(S(C)(=O)=O)C=C2[N+]([O-])=O)=O)C(CCC1)=O,O=C1CCC2OC1OC2,Mesotrione,Cireno (Cyrene) ,323.15,-0.05,300.0
OC(C1(CC1)Cl)(CC2=C(Cl)C=CC=C2)CN3N=CNC3=S,O=C1CCC2OC1OC2,Prothioconazole,Cireno (Cyrene) ,323.15,-0.06,300.0
O=C1C(C(C2=CC=C(S(C)(=O)=O)C=C2[N+]([O-])=O)=O)C(CCC1)=O,CN1C(CCC1)=O,Mesotrione,NMP,298.15,-0.06,295.0
O=C1N(CC2=CC=CC=C2Cl)OCC1(C)C,"UVCB (Unknown or Variable Composition, Complex Reaction Products)",Clomazone,Ultrafilm 2770,298.15,-0.09,193.33
O=C(OC)/C(C1=CC=CC=C1OC2=NC=NC(OC3=CC=CC=C3C#N)=C2)=C/OC,N#CCC(=O)OCC,Azoxystrobin ,Ethyl cyanoacetate ,323.15,-0.13,300.0
O=C(OC)/C(C1=CC=CC=C1OC2=NC=NC(OC3=CC=CC=C3C#N)=C2)=C/OC,O=C(OCC)C(=O)C,Azoxystrobin ,Ethyl pyruvate,323.15,-0.13,300.0
OC(C1(CC1)Cl)(CC2=C(Cl)C=CC=C2)CN3N=CNC3=S,O=C(OCC)CC(=O)C,Prothioconazole,ethyl acetoacetate,323.15,-0.14,250.0
CNC(=O)C(=NOC)C1=CC=CC=C1OC2=CC=CC=C2,N#CCC(=O)OCC,Metominostrobin,Ethyl cyanoacetate ,298.15,-0.15,200.0
CNC(=O)C(=NOC)C1=CC=CC=C1OC2=CC=CC=C2,O=C(OCC)C(=O)C,Metominostrobin,Ethyl pyruvate,298.15,-0.152746864,200.0
OC(C(C)(C)C)(CCC1=CC=C(Cl)C=C1)CN2C=NC=N2,O=C(OCCCC)CCC(=O)C,Tebuconazole,Butyl Levulinate,298.15,-0.18723862,200.0
O=C(C1=CC(Br)=NN1C2=NC=CC=C2Cl)NC3=C(C(NC)=O)C=C(Cl)C=C3C,CN1C(CCC1)=O,Chlorantraniliprole ,NMP,298.15,-0.21,300.0
O=C(C1=CC(Br)=NN1C2=NC=CC=C2Cl)NC3=C(C(NC)=O)C=C(Cl)C=C3C,CN1C(CCC1)=O,Chlorantraniliprole ,NMP,323.15,-0.21,300.0
O=C(OC)/C(C1=CC=CC=C1OC2=NC=NC(OC3=CC=CC=C3C#N)=C2)=C/OC,O=C(OCC)CC(=O)C,Azoxystrobin ,ethyl acetoacetate,323.15,-0.207795885,250.0
